time(s)	cellId	rnti	lcid	packetSize
4.542	3	2	3	382
4.547	3	1	3	167
4.55	1	4	3	112
4.55	1	3	3	223
4.55	1	2	3	167
4.55	3	2	3	128
4.551	1	1	3	56
4.556	3	2	3	175
4.557	3	4	3	112
4.558	3	4	3	56
4.56	1	1	3	56
4.564	3	2	3	56
4.565	3	1	3	167
4.57	3	2	3	56
4.576	3	2	3	112
4.578	3	4	3	167
4.582	3	4	3	56
4.582	3	2	3	56
4.585	3	1	3	167
4.587	1	4	3	112
4.587	1	3	3	167
4.587	1	2	3	167
4.588	3	2	3	112
4.589	1	1	3	56
4.593	3	2	3	56
4.6	3	2	3	56
4.604	3	4	3	112
4.604	3	2	3	112
4.604	3	1	3	167
4.605	3	4	3	56
4.609	3	2	3	56
4.611	3	1	3	56
4.616	3	2	3	56
4.621	3	4	3	318
4.621	3	2	3	167
4.622	3	4	3	128
4.623	3	1	3	167
4.625	1	4	3	112
4.625	1	3	3	445
4.625	1	2	3	167
4.625	1	1	3	111
4.626	1	4	3	56
4.626	1	1	3	3
4.63	3	2	3	56
4.635	3	1	3	56
4.636	3	2	3	167
4.641	3	1	3	112
4.644	3	2	3	128
4.65	3	2	3	191
4.651	3	4	3	247
4.653	3	4	3	56
4.655	3	1	3	128
4.656	3	2	3	382
4.661	3	1	3	255
4.663	3	2	3	56
4.666	1	4	3	155
4.666	1	3	3	302
4.666	1	2	3	167
4.666	1	1	3	56
4.669	3	2	3	112
4.671	3	4	3	191
4.673	1	4	3	14
4.674	3	2	3	112
4.674	3	1	3	191
4.678	1	1	3	56
4.68	3	1	3	120
4.683	3	2	3	128
4.688	3	2	3	255
4.693	3	1	3	112
4.696	3	4	3	255
4.697	3	2	3	128
4.699	3	1	3	56
4.703	3	2	3	120
4.707	1	4	3	167
4.707	1	3	3	191
4.707	1	2	3	223
4.708	1	1	3	56
4.71	3	2	3	56
4.713	3	1	3	112
4.716	3	4	3	175
4.716	3	2	3	56
4.719	3	1	3	56
4.722	3	2	3	112
4.728	3	2	3	56
4.736	3	2	3	56
4.741	3	4	3	112
4.741	3	2	3	112
4.743	3	1	3	167
4.747	3	2	3	56
4.748	1	3	3	255
4.749	1	4	3	167
4.75	1	1	3	56
4.754	1	1	3	56
4.754	3	2	3	56
4.76	3	2	3	112
